id,card_id,user_id,card_number,exp_month,exp_year,customer_id,email,address_city,address_country,address_state,address_zip,name_on_card,email_domain,card_user_count,customer_id_count,is_fraud
2848,3d1f0167-fb7a-47b9-8091-7d9e4bbb7c22,5153,8607512378587984,2,2027,2cfc8c5b-4446-4c99-87e7-8c1fed8d3316,robert2253@example.com,Chicago,0,1,63709,Robert Smith,0,1,1,1
2855,bef52a3b-08e7-44c7-bada-aab24e445cb1,3331,3527265964357654,3,2029,60707fa2-c6d3-4f8a-8f88-e270fe7b9992,michael2298@example.com,Houston,0,2,13927,Michael Davis,0,1,1,1
2858,a538fb66-0ad0-4d69-b155-ffcbabfb689a,4602,3091598384112977,1,2030,21833842-40ea-464b-a8e5-6533ef0fedef,james9116@example.com,Phoenix,0,3,11630,James Johnson,0,1,1,1
2866,c3d5821d-dbb0-4255-bc2b-8caea6e720a4,8267,4813812608602899,1,2025,97956035-5a5f-478e-ad05-3036f6e714a1,robert1166@example.com,New York,0,0,16958,Robert Davis,0,2,2,1
2866,c3d5821d-dbb0-4255-bc2b-8caea6e720a4,9498,4813812608602899,1,2025,97956035-5a5f-478e-ad05-3036f6e714a1,robert1166@example.com,New York,0,0,16958,Robert Davis,0,2,2,1
2871,06f94e33-ca6f-4672-acd4-bf22f04f247b,7174,1299721632650269,8,2023,859bf9eb-6170-48f8-9391-a7a756f071d0,james7958@example.com,Los Angeles,0,4,63291,James Brown,0,1,1,1
2879,44e369c2-c86e-4a5f-a28f-1d3ff1ac1350,5553,7237793446637287,8,2025,8c827854-d431-4cb0-94cb-587be0e81e2a,michael9029@example.com,Houston,0,2,91229,Michael Miller,0,1,1,1
2881,ad9a5442-8209-4182-870e-bf9d49d4e94e,6033,9864475339487147,4,2024,9e2b8319-83ea-404c-b369-8a1f8d965d16,mary8742@example.com,Houston,0,4,38343,Mary Rodriguez,0,1,1,1
2882,6b926a25-afdd-436d-9cde-c1cb3f489c29,6214,4764140898040585,6,2027,19c59b3f-6254-410d-8402-d312807c10f9,james1539@example.com,Phoenix,0,0,71413,James Davis,0,2,2,1
2882,6b926a25-afdd-436d-9cde-c1cb3f489c29,5391,4764140898040585,6,2027,19c59b3f-6254-410d-8402-d312807c10f9,james1539@example.com,Phoenix,0,0,71413,James Davis,0,2,2,1
2897,fc407652-4d72-499f-8000-1df000e922ab,6766,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,0,0,76319,Michael Williams,0,2,2,1
2897,fc407652-4d72-499f-8000-1df000e922ab,9794,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,0,0,76319,Michael Williams,0,2,2,1
2899,9daa3ebd-3a11-4d89-a169-9488ef35c320,7507,919739885339635,10,2030,4b1885ec-a16e-42ea-bc3a-42790d9fa5ce,michael7469@example.com,Los Angeles,0,1,63783,Michael Martinez,0,1,1,1
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,9844,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,0,4,58859,James Garcia,0,2,2,1
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,8210,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,0,4,58859,James Garcia,0,2,2,1
2927,cecb51c3-7657-4658-934a-8c93a13b5ce2,3698,6605270698785954,3,2029,927fd663-9ec6-44e6-a489-e790e2d99487,robert5742@example.com,Chicago,0,3,94670,Robert Rodriguez,0,2,2,1
2927,cecb51c3-7657-4658-934a-8c93a13b5ce2,7128,6605270698785954,3,2029,927fd663-9ec6-44e6-a489-e790e2d99487,robert5742@example.com,Chicago,0,3,94670,Robert Rodriguez,0,2,2,1
2933,9e912edb-e49f-4f94-a457-33e409c6c453,3574,4747096811109720,3,2024,989fb391-a515-4056-ac82-1af654380ba4,john5681@example.com,New York,0,3,54457,John Miller,0,2,2,1
2933,9e912edb-e49f-4f94-a457-33e409c6c453,4399,4747096811109720,3,2024,989fb391-a515-4056-ac82-1af654380ba4,john5681@example.com,New York,0,3,54457,John Miller,0,2,2,1
2941,c15f7208-58a5-421b-ae19-2f1f9f39452f,8431,6923917172134804,1,2024,883fec18-b587-4624-9701-da678beeb02a,patricia6858@example.com,Los Angeles,0,1,76297,Patricia Rodriguez,0,1,1,1
2954,200c12cf-1791-4a20-baaf-4842a30a113a,8497,4762706166373704,3,2029,928e0d81-55fa-41e8-a86e-96f9afd04071,james2628@example.com,Los Angeles,0,2,99979,James Williams,0,1,1,1
