id,card_id,user_id,card_number,exp_month,exp_year,customer_id,email,address_city,address_country,address_state,address_zip,name_on_card,email_domain,card_user_count,customer_id_count,is_fraud
2866,c3d5821d-dbb0-4255-bc2b-8caea6e720a4,8267,4813812608602899,1,2025,97956035-5a5f-478e-ad05-3036f6e714a1,robert1166@example.com,New York,0,0,16958,Robert Davis,0,2,2,1
2866,c3d5821d-dbb0-4255-bc2b-8caea6e720a4,9498,4813812608602899,1,2025,97956035-5a5f-478e-ad05-3036f6e714a1,robert1166@example.com,New York,0,0,16958,Robert Davis,0,2,2,1
2897,fc407652-4d72-499f-8000-1df000e922ab,6766,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,0,0,76319,Michael Williams,0,2,2,1
2897,fc407652-4d72-499f-8000-1df000e922ab,9794,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,0,0,76319,Michael Williams,0,2,2,1
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,9844,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,0,4,58859,James Garcia,0,2,2,1
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,8210,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,0,4,58859,James Garcia,0,2,2,1
2927,cecb51c3-7657-4658-934a-8c93a13b5ce2,3698,6605270698785954,3,2029,927fd663-9ec6-44e6-a489-e790e2d99487,robert5742@example.com,Chicago,0,3,94670,Robert Rodriguez,0,2,2,1
2927,cecb51c3-7657-4658-934a-8c93a13b5ce2,7128,6605270698785954,3,2029,927fd663-9ec6-44e6-a489-e790e2d99487,robert5742@example.com,Chicago,0,3,94670,Robert Rodriguez,0,2,2,1
2990,87c35bc0-2a6f-4858-a64c-bae01227ed9b,9891,1901586869851875,4,2023,f6770ef2-819d-44aa-b03e-1ac21ec5c1a4,michael7111@example.com,Chicago,0,4,72830,Michael Garcia,0,2,2,1
2990,87c35bc0-2a6f-4858-a64c-bae01227ed9b,6131,1901586869851875,4,2023,f6770ef2-819d-44aa-b03e-1ac21ec5c1a4,michael7111@example.com,Chicago,0,4,72830,Michael Garcia,0,2,2,1
3026,dcdc1ff8-f747-425c-bd21-b18c2b874b07,8277,1101593259830435,2,2030,e2bc5efd-a825-46b9-9fb4-bd8b8b594458,mary8860@example.com,Houston,0,0,69712,Mary Garcia,0,2,2,1
3026,dcdc1ff8-f747-425c-bd21-b18c2b874b07,2632,1101593259830435,2,2030,e2bc5efd-a825-46b9-9fb4-bd8b8b594458,mary8860@example.com,Houston,0,0,69712,Mary Garcia,0,2,2,1
3029,122fc980-9f76-423d-8827-1d794867bd7a,1970,9279920990517488,5,2023,65b7a8a9-279b-40b9-95bd-2d13302f19e1,michael5582@example.com,Houston,0,0,77638,Michael Smith,0,2,2,1
3029,122fc980-9f76-423d-8827-1d794867bd7a,6024,9279920990517488,5,2023,65b7a8a9-279b-40b9-95bd-2d13302f19e1,michael5582@example.com,Houston,0,0,77638,Michael Smith,0,2,2,1
3037,daa082a4-6294-4eb7-a056-0839ccc02dc9,1753,8288470461400959,9,2026,045f437c-9be6-4d2c-b8d3-e5ead780ee29,james9463@example.com,Houston,0,1,38551,James Brown,0,2,2,1
3037,daa082a4-6294-4eb7-a056-0839ccc02dc9,4259,8288470461400959,9,2026,045f437c-9be6-4d2c-b8d3-e5ead780ee29,james9463@example.com,Houston,0,1,38551,James Brown,0,2,2,1
3077,480c4b5a-9e80-4d9b-8010-59f18ae3ea17,9800,9170321326365848,10,2029,6327c310-7f27-407e-9d01-c17e2d031a24,mary1138@example.com,New York,0,2,36258,Mary Williams,0,2,2,1
3077,480c4b5a-9e80-4d9b-8010-59f18ae3ea17,5756,9170321326365848,10,2029,6327c310-7f27-407e-9d01-c17e2d031a24,mary1138@example.com,New York,0,2,36258,Mary Williams,0,2,2,1
3087,89511e08-b14b-4dbe-acd6-dc3022cc9e47,6882,8025715340624395,1,2028,51ee3561-75a3-4598-8930-9b0a1532dacb,patricia2593@example.com,New York,0,0,87874,Patricia Davis,0,2,2,1
3087,89511e08-b14b-4dbe-acd6-dc3022cc9e47,8337,8025715340624395,1,2028,51ee3561-75a3-4598-8930-9b0a1532dacb,patricia2593@example.com,New York,0,0,87874,Patricia Davis,0,2,2,1
3089,fdc4648a-b180-4876-b153-c322859561cf,7473,2391881915925340,4,2024,fea5dbbc-7b5b-47a5-847d-46b4f2e1bda4,mary8106@example.com,Chicago,0,0,33456,Mary Brown,0,2,2,1
3089,fdc4648a-b180-4876-b153-c322859561cf,4049,2391881915925340,4,2024,fea5dbbc-7b5b-47a5-847d-46b4f2e1bda4,mary8106@example.com,Chicago,0,0,33456,Mary Brown,0,2,2,1
3108,b340ee82-7deb-4bfc-a972-5f67297ea9a7,4613,6417199634318624,8,2024,1322913c-66c6-4a1d-875d-32d4369cae47,patricia9933@example.com,New York,0,0,64017,Patricia Miller,0,2,2,1
